ZHYDROGEN,ZOXYGEN,ZNITROGEN,ZMETHANE,ZCARBON_MONOXIDE,ZETHANE,ZCARBON_DIOXIDE,ZETHYLENE,ZACETYLENE
90,14500,69500,4,299,1.7,2940,1.7,0
139,3820,70485,10,398,7,3533,6,0
79,8429,51733,3,220,1,2166,1,0
92,18700,67300,4,281,2,3030,2,0
106,9251,72033,9,271,3,2899,6,0
101,17000,73900,5,310,3,3050,3,0
66,9481,37258,9,287,3,2893,3,0
51,6594,31449,8,247,2,2913,2,0
272,3344,64156,7,241,1,1887,1,0
58,6083,81708,6,236,3,2312,1,0
46,3188,70065,4,220,0,2521,0,0
0,31674,53287,0,6,0,304,0,0
58,8581,64931,0,287,1,1938,0,0
5,25400,67800,2,254,0,2080,139,0.6
7,15869,65745,3,398,1,2628,132,2
15,6403,43010,7,402,1,1410,135,2
9,9064,50898,3,315,1,1734,91,2
18,17600,83100,5,621,0,2330,131,1
24,13500,83500,6,678,0,2860,147,3
21,19100,73200,4,566,0,2450,160,2
8,5430,69562,9,477,10,1965,113,2
7,5564,25075,4,270,0,1108,62,1
16,4118,29122,9,566,1,1948,146,2
12,6332,33307,6,328,1,1391,93,0
25,4807,73108,5,547,0,1631,89,0
