ZHYDROGEN,ZOXYGEN,ZNITROGEN,ZMETHANE,ZCARBON_MONOXIDE,ZETHANE,ZCARBON_DIOXIDE,ZETHYLENE,ZACETYLENE
0,4329,78402,0,0,0,352,0,0
35,14904,64139,9,210,15,5549,15,0
75,22900,68700,10,216,17,9270,16,0
567,4966,66557,11,353,13,7279,11,0
11,6652,19901,7,109,22,5830,13,0
64,6954,21416,14,171,12,5075,14,0
65,8332,59828,19,200,12,9937,12,0
99,23700,77500,9,317,17,9880,13,0
133,19800,86500,12,487,9,9140,12,0
108,19319,56868,10,299,13,5270,13,0
432,2530,78300,81,264,182,5910,22,0
43,17949,52575,6,281,7,4882,7,0
57,13081,53132,7,348,9,6272,8,0
73,7862,48400,5,251,6,5815,7,0
154,18300,126000,32,107,178,2930,22,0
62,25600,65000,9,123,12,5010,9,0
68,24200,88400,5.9,288,6.5,5900,8.7,0
1,5200,88000,3,17,10,560,0,0
2,34000,150000,3,7,10,570,1,0
4,2703,82642,3,15,8,477,2,0
258,17200,67700,11,197,44,4340,9,0
48,15200,68100,37,73,99,2950,25,0
332,2680,79400,68,210,183,3700,23,0
840,563,71700,131,456,170,6000,21,0
211,18500,66200,6,111,43,2750,4,0
83,16333,59183,2,117,31,3436,5,0
74,13294,62622,2,172,33,4550,12,0
33,770,71000,36,144,31,1500,17,0
217,14800,72900,15,362,20,7680,14,0
11,1870,80200,2,5,7,2370,4,0
20,15400,66000,40,519,26,14300,201,0
20,5188,38273,24,427,18,8985,159,0
14,18600,64600,17,377,14,8900,223,0
19,22250,75129,13,426,8,7373,281,0
13,16800,63100,15,461,3,8100,225,0
12,7742,33422,23,583,4,8810,187,0
58,11025,77010,48,721,41,13304,93,0
5,3881,58949,0,206,0,2875,53,0
28,16200,62900,27,512,29,8870,193,0
16,3822,72655,9,385,0,3544,39,1
0,2910,89900,0,0,0,38,0,0
0,2953,75884,1,7,0,215,1,3
0,2370,82000,0,0,0,40,0,0
0,2200,76700,0,8,1,127,0,0
19,11805,30861,18,376,10,6012,164,0
42,16300,71900,44,559,43,11700,59,0
34,16400,71000,22,554,15,9010,243,0
5,15500,71700,15,375,9,6440,64,0
11,9362,69444,26,608,21,15868,224,0
7.5,16000,62500,21,491,17,16200,279,0
10,7260,68900,21,428,16,13200,164,0
6,2337,53485,19,285,20,9822,143,0
